product_id,product_name,barcode,brand,image,description,url
0,"
	BTT Kinh Đô – Đậu xanh lá dứa 1 trứng 150g-L1 – cái",8934680090834,,https://baothymart.com/wp-content/uploads/2023/11/kiotviet_13a5ed926eb5349c1a907ae1b42b0da2-300x300.png,"
				

<p>Có thể do sự thanh mát của đậu xanh có công năng tăng cường sức khỏe tim mạch, điều chỉnh mức đường huyết và chống lão hóa mà&nbsp;bánh trung thu Kinh Đô&nbsp;đậu xanh lá dứa 1&nbsp;trứng đặc biệt&nbsp;rất được ưa chuộng vào mỗi mùa ” Trung Thu”. Ngoài ra bên trong nhân bánh còn có thành phần lá dứa tươi ngon giúp bánh có mùi hương thoang thoảng rất dễ chịu hấp dẫn mọi thực khách gần xa.</p>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-xanh-la-dua-1-trung-150g-l1-cai
1,"
	BTT Kinh Đô – Gà quay xốt XO 2 trứng-2 – cái",8934680090018,,https://baothymart.com/wp-content/uploads/2023/11/kiotviet_d27f886466668f5141ecc7aeb0cee3ed-300x253.png,"
				

<p>Nhân gà quay JamBon 2 trứng đặc biệt với trọng lượng 250g.&nbsp;Bánh trung thu Kinh Đô đảm bảo không có chất bảo quản, an toàn cho người sử dụng.Thương hiệu bánh Kinh Đô luôn đề cao chất lượng lên hàng đầu và thái độ phục vụ tận tình, chu đáo.Mỗi chiếc bánh là một tác phẩm nghệ thuật, phối hợp hài hòa các thành phần nguyên liệu tạo nên mùi đặc trưng cho từng loại bánh.Kinh Đô sản xuất bánh với số lượng giới hạn hằng năm, đảm bảo nguyên liệu không quá 6 tháng, bánh luôn tươi mới.Thiết kế sang trọng, phù hợp để khách hàng dành tặng người thân, bạn bè, đối tác…</p>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-ga-quay-xot-xo-2-trung-2-cai
2,"
	BTT Kinh đô Bào ngư 2 trứng-B – cái",8934680093200,,https://baothymart.com/wp-content/uploads/2023/11/kiotviet_6803bc7392d4381f55168db7467bce2d-300x300.png,"
				<div id=""reviews"" class=""woocommerce-Reviews row"">
	<div id=""comments"" class=""col large-12"">
		<h3 class=""woocommerce-Reviews-title normal"">
			Đánh giá		</h3>

					<p class=""woocommerce-noreviews"">Chưa có đánh giá nào.</p>
			</div>

			<div id=""review_form_wrapper"" class=""large-12 col"">
			<div id=""review_form"" class=""col-inner"">
				<div class=""review-form-inner has-border"">
					<div id=""respond"" class=""comment-respond"">
		<h3 id=""reply-title"" class=""comment-reply-title"">Hãy là người đầu tiên nhận xét “BTT Kinh đô Bào ngư 2 trứng-B – cái” <small><a rel=""nofollow"" id=""cancel-comment-reply-link"" href=""/banh-trung-thu/btt-kinh-do-bao-ngu-2-trung-b-cai#respond"" style=""display:none;"">Hủy</a></small></h3><p class=""must-log-in"">Bạn phải <a href=""https://baothymart.com/tai-khoan"">bđăng nhập</a> để gửi đánh giá.</p>	</div><!-- #respond -->
					</div>
			</div>
		</div>

	
</div>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-bao-ngu-2-trung-b-cai
3,"
	BTT Kinh đô Cua bát bửu 1 trứng 150g-SV1 – cái",8934680096607,,https://baothymart.com/wp-content/uploads/2023/11/Kinh-do-Cua-bat-buu-1-trung-150g-300x300.jpg,"
				

<ul>
<li><strong>Bánh Trung Thu Kinh Đô Cua Bát Bửu 1 Trứng 150g&nbsp;</strong>không chỉ là một&nbsp;thức&nbsp;quà trung thu độc đáo mà còn là một cách để chúng ta gợi nhớ về văn hóa và truyền thống của dân tộc.</li>
<li>Hương vị ngọt ngào và đậm đà tức thì lan tỏa trong miệng từ nhân thịt cua tươi ngọt, lớp vỏ bánh mang đến sự hòa quyện tuyệt vời béo bùi đặc trưng từ các loại hạt.</li>
<li>Đây sẽ là chiếc bánh có thể làm quà tặng đặc biệt cho người thân hoặc sẽ là chiếc bánh để bạn cùng thưởng thức với tách trà nóng cùng gia đình dưới ánh trăng. Mỗi lần cắn một miếng bánh, chúng ta không chỉ cảm nhận hương vị thơm ngon mà còn trải qua một hành trình thời gian trở về ký ức ngọt ngào của tuổi thơ.</li>
</ul>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-cua-bat-buu-1-trung-150g-sv1-cai
4,"
	BTT Kinh đô đậu đỏ 150g-R1 – cái",8934680091473,,https://baothymart.com/wp-content/uploads/2023/11/kiotviet_c92282ab7de17c0f79145e2ee11cdc0c.png,"
				<div id=""reviews"" class=""woocommerce-Reviews row"">
	<div id=""comments"" class=""col large-12"">
		<h3 class=""woocommerce-Reviews-title normal"">
			Đánh giá		</h3>

					<p class=""woocommerce-noreviews"">Chưa có đánh giá nào.</p>
			</div>

			<div id=""review_form_wrapper"" class=""large-12 col"">
			<div id=""review_form"" class=""col-inner"">
				<div class=""review-form-inner has-border"">
					<div id=""respond"" class=""comment-respond"">
		<h3 id=""reply-title"" class=""comment-reply-title"">Hãy là người đầu tiên nhận xét “BTT Kinh đô đậu đỏ 150g-R1 – cái” <small><a rel=""nofollow"" id=""cancel-comment-reply-link"" href=""/banh-trung-thu/btt-kinh-do-dau-do-150g-r1-cai#respond"" style=""display:none;"">Hủy</a></small></h3><p class=""must-log-in"">Bạn phải <a href=""https://baothymart.com/tai-khoan"">bđăng nhập</a> để gửi đánh giá.</p>	</div><!-- #respond -->
					</div>
			</div>
		</div>

	
</div>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-do-150g-r1-cai
5,"
	BTT Kinh đô Đậu đỏ kiểu Nhật / trứng 230-R – cái",8934680091459,,https://baothymart.com/wp-content/uploads/2023/11/Kinh-do-Dau-do-kieu-Nhat-trung-230-300x300.png,"
				<div id=""reviews"" class=""woocommerce-Reviews row"">
	<div id=""comments"" class=""col large-12"">
		<h3 class=""woocommerce-Reviews-title normal"">
			Đánh giá		</h3>

					<p class=""woocommerce-noreviews"">Chưa có đánh giá nào.</p>
			</div>

			<div id=""review_form_wrapper"" class=""large-12 col"">
			<div id=""review_form"" class=""col-inner"">
				<div class=""review-form-inner has-border"">
					<div id=""respond"" class=""comment-respond"">
		<h3 id=""reply-title"" class=""comment-reply-title"">Hãy là người đầu tiên nhận xét “BTT Kinh đô Đậu đỏ kiểu Nhật / trứng 230-R – cái” <small><a rel=""nofollow"" id=""cancel-comment-reply-link"" href=""/banh-trung-thu/btt-kinh-do-dau-do-kieu-nhat-trung-230-r-cai#respond"" style=""display:none;"">Hủy</a></small></h3><p class=""must-log-in"">Bạn phải <a href=""https://baothymart.com/tai-khoan"">bđăng nhập</a> để gửi đánh giá.</p>	</div><!-- #respond -->
					</div>
			</div>
		</div>

	
</div>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-do-kieu-nhat-trung-230-r-cai
6,"
	BTT Kinh đô đậu xanh hạnh nhân 150 g -XHX – CÁI",8934680092449,,https://baothymart.com/wp-content/uploads/2024/08/kiotviet_d386885008560f7ceed3f51c83a7972a-300x253.png,"
				

<p>Bánh trung thu đậu xanh hạnh nhân 150 g</p>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-xanh-hanh-nhan-150-g-xhx-cai
7,"
	BTT Kinh đô Đậu xanh hạt dưa 2 trứng 210g-6",8934680090056,,https://baothymart.com/wp-content/uploads/2023/11/kiotviet_371af71012c1c399daab866755f7744b.png,"
				<div id=""reviews"" class=""woocommerce-Reviews row"">
	<div id=""comments"" class=""col large-12"">
		<h3 class=""woocommerce-Reviews-title normal"">
			Đánh giá		</h3>

					<p class=""woocommerce-noreviews"">Chưa có đánh giá nào.</p>
			</div>

			<div id=""review_form_wrapper"" class=""large-12 col"">
			<div id=""review_form"" class=""col-inner"">
				<div class=""review-form-inner has-border"">
					<div id=""respond"" class=""comment-respond"">
		<h3 id=""reply-title"" class=""comment-reply-title"">Hãy là người đầu tiên nhận xét “BTT Kinh đô Đậu xanh hạt dưa 2 trứng 210g-6” <small><a rel=""nofollow"" id=""cancel-comment-reply-link"" href=""/banh-trung-thu/btt-kinh-do-dau-xanh-hat-dua-2-trung-210g-6#respond"" style=""display:none;"">Hủy</a></small></h3><p class=""must-log-in"">Bạn phải <a href=""https://baothymart.com/tai-khoan"">bđăng nhập</a> để gửi đánh giá.</p>	</div><!-- #respond -->
					</div>
			</div>
		</div>

	
</div>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-xanh-hat-dua-2-trung-210g-6
8,"
	BTT Kinh đô đậu xanh lá dứa 2 trứng 230g-L – cái",8934680090827,,https://baothymart.com/wp-content/uploads/2023/11/Kinh-do-dau-xanh-la-dua-2-trung-230g-300x300.png,"
				

<p><em><strong>Chuyên mục :&nbsp;bánh nướng 2 trứng đặc biệt</strong></em></p>
<p><em><strong>Trọng lượng : 210g</strong></em></p>
<p><em><strong>Hình thức: 1 bánh, có hộp kiếng chống ẩm</strong></em></p>
<p><strong>Bánh đậu xanh lá dứa Loại 2 trứng đặc biệt</strong>&nbsp;nặng 250gr, nhân bánh được làm từ đậu xanh say nhuyễn, nước cốt làm từ lá dứa, mùi vị thơm ngoan của đậu xanh quyện trong mùi thơm của lá dứa mang lại hương vị đặc biệt rất đặc trưng của người miền Nam.</p>
<p>Thật ý nghĩa khi trên mâm cổ trung thu có chiếc&nbsp;<strong>bánh đậu xanh lá dứa</strong>&nbsp;này, những khoảng khắc đêm trung thu sẽ tuyệt vời hơn khi cả nhà cùng quây quần thưởng thức những chiếc bánh trung thu kinh Đô mang đậm hương vị Việt.</p>
<p>Mỗi hộp&nbsp;<strong>Bánh trung thu Kinh Đô đậu xanh lá dứa</strong>&nbsp;chan chứa mối cảm tình chân thật, lời cầu chúc thành nguyện, những giá trị chắt lọc và nỗi niềm gửi gắm của nghệ nhân&nbsp;<strong>Kinh Đô</strong>&nbsp;để mùa lễ hội tràn ngập sắc màu lung linh và trọn vẹn như ánh Trăng sáng trên cao.</p>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-dau-xanh-la-dua-2-trung-230g-l-cai
9,"
	BTT Kinh đô Gà quay jambon 0 trứng 150g -20 – cái",8934680096775,,https://baothymart.com/wp-content/uploads/2024/08/kiotviet_3326a5030af545c5c868b2b8b83815ec-300x300.png,"
				<div id=""reviews"" class=""woocommerce-Reviews row"">
	<div id=""comments"" class=""col large-12"">
		<h3 class=""woocommerce-Reviews-title normal"">
			Đánh giá		</h3>

					<p class=""woocommerce-noreviews"">Chưa có đánh giá nào.</p>
			</div>

			<div id=""review_form_wrapper"" class=""large-12 col"">
			<div id=""review_form"" class=""col-inner"">
				<div class=""review-form-inner has-border"">
					<div id=""respond"" class=""comment-respond"">
		<h3 id=""reply-title"" class=""comment-reply-title"">Hãy là người đầu tiên nhận xét “BTT Kinh đô Gà quay jambon 0 trứng 150g -20 – cái” <small><a rel=""nofollow"" id=""cancel-comment-reply-link"" href=""/banh-trung-thu/btt-kinh-do-ga-quay-jambon-0-trung-150g-20-cai#respond"" style=""display:none;"">Hủy</a></small></h3><p class=""must-log-in"">Bạn phải <a href=""https://baothymart.com/tai-khoan"">bđăng nhập</a> để gửi đánh giá.</p>	</div><!-- #respond -->
					</div>
			</div>
		</div>

	
</div>
			",https://baothymart.com/banh-trung-thu/btt-kinh-do-ga-quay-jambon-0-trung-150g-20-cai
