product_id,product_name,barcode,brand,image,description,url
0,"Bánh Trung Thu cao cấp ""Thu Bình An"" version Xanh",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/27_1a60be923cba4a28ac015aa2f316845b_medium.jpg,"
Bánh Trung Thu cao cấp ""Thu Bình An"" không chỉ là món quà đặc biệt mà còn là lời chúc bình an, thịnh vượng gửi đến mọi nhà. Với sự kết hợp tinh tế của các loại nhân thượng hạng như dưa Mỹ, sâm sa mạc, bò ngũ vị và dưỡng nhan hồng hoa, mỗi chiếc bánh đều mang đến hương vị độc đáo và giá trị dinh dưỡng cao.Thành phần: 04 bánh cao cấp, mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Sen trắng hạnh nhânBánh nướng nhân Bò ngũ vịBánh nướng nhân Đậu đỏ việt quất * Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-binh-an-version-xanh
1,"Bánh Trung Thu cao cấp ""Thu Bình An"" version Cam",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/48_900a72048bfe4be591d3a99ffcf9b050_medium.jpg,"
Bánh Trung Thu cao cấp “Thu Bình An” là lời nhắn mong cầu bình an dành cho mọi nhà. Thưởng thức bánh Trung thu cao cấp ""Thu Bình An"", bạn không chỉ cảm nhận được hương vị thơm ngon đặc trưng của từng loại nhân bánh mà còn gửi gắm những lời chúc tốt đẹp đến người thân, bạn bè.Thành phần: 04 bánh cao cấp, mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Sen trắng hạnh nhânBánh nướng nhân Bò ngũ vịBánh nướng nhân Đậu đỏ việt quất* Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-binh-an-version-cam
2,"Bánh Trung Thu cao cấp ""Thu Yêu Thương""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/36_a448f6e4948641a29f6aecb2c9fe00fa_medium.jpg,"
Bánh Trung thu cao cấp ""Thu Yêu Thương"" - món quà tinh tế gửi gắm những lời yêu thương chân thành đến người thân, gia đình. Với hương vị đặc biệt từ những nguyên liệu cao cấp, mỗi chiếc bánh là một lời cảm ơn sâu sắc và lời chúc phúc tốt đẹp nhấtThành phần: 04 bánh cao cấp, mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Ngự huế hạnh nhânBánh nướng nhân Bò ngũ vị* Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-yeu-thuong
3,"Bánh Trung Thu cao cấp ""Thu Đủ Đầy""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/33_b64eb4e0352f470b8a28805685c52987_medium.jpg,"
Hộp bánh Trung thu cao cấp ""Thu Đủ Đầy"" là lời chúc ấm áp, gửi gắm mong ước về một mùa thu sum họp, đủ đầy. Với 6 vị bánh nướng thượng hạng, cùng trà mạn hảo hạng, hộp quà này không chỉ là món quà biếu tặng ý nghĩa mà còn là trải nghiệm ẩm thực tuyệt vời cho cả gia đình.Thành phần: 06 bánh cao cấp, 01 trà mạn và trong đó mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Thập cẩm đông trùng hạ thảoBánh nướng nhân Ngự huế hạnh nhânBánh nướng nhân Bò ngũ vịBánh nướng nhân Thập cẩm vi cáBánh nướng nhân Đậu đỏ việt quất * Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-du-day
4,"Bánh Trung Thu cao cấp ""Thu Sum Vầy""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/44_a0a2cedf57d14892a754f0132b3e291b_medium.jpg,"
Mùa trăng về, tràn ngập yêu thương. Hộp bánh trung thu cao cấp ""Thu Sum Vầy"" là sự kết hợp hoàn hảo giữa hương vị truyền thống và hiện đại, với 4 loại nhân bánh độc đáo và trà mạn thơm ngon. Món quà ý nghĩa gửi gắm lời chúc đoàn viên, sum vầy đến những người thân yêu.Thành phần: 04 bánh cao cấp, và 01 trà mạn, trong đó mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Ngự huế hạnh nhânBánh nướng nhân Bò ngũ vịTrà mạn 80g* Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-sum-vay
5,"Bánh Trung Thu cao cấp ""Thu Hạnh Phúc""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/29_5296bcdf1b2f42d2936c362ca5f25960_medium.jpg,"
Hộp bánh Trung thu cao cấp ""Thu Hạnh Phúc"" không chỉ là món quà biếu tặng mà còn là biểu tượng của sự tinh tế và đẳng cấp. Với sự kết hợp hoàn hảo giữa hương vị truyền thống và nguyên liệu cao cấp như đông trùng hạ thảo, yến sào, vi cá,... mỗi chiếc bánh đều là một tác phẩm nghệ thuật ẩm thực, mang đến những trải nghiệm khó quên cho người thưởng thức.Thành phần: 06 bánh cao cấp, trong đó mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Dưa LướiBánh nướng nhân Thập cẩm đông trùng hạ thảoBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Bò ngũ vịBánh nướng nhân Thập cẩm vi cáBánh nướng nhân Đậu đỏ việt quất* Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-hanh-phuc
6,"Bánh 6 bánh Trung Thu cao cấp ""Thu Thịnh Vượng""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/47_b2136a1b529045578a16675dba695b63_medium.jpg,"
Bánh Trung thu cao cấp ""Thu Thịnh Vượng"" là món quà ý nghĩa, gửi gắm lời chúc thành công và thịnh vượng dành cho đối tác và khách hàng, thể hiện sự trân trọng và mong muốn hợp tác lâu dài. Với hương vị độc đáo từ những nguyên liệu thượng hạng, mỗi chiếc bánh đều là một tác phẩm nghệ thuật tinh tế.Thành phần: 06 bánh cao cấp, trong đó mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Sen trắng hạnh nhânBánh nướng nhân Linh chi ngũ bảoBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Bò ngũ vịBánh nướng nhân Thập cẩm vi cáBánh nướng nhân Đậu đỏ việt quất * Lưu ý:Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-thinh-vuong
7,"Bộ hộp 4 Bánh Trung Thu cao cấp ""Mùa Vàng Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/1_dd8dad9fcc9247479743ae4847a63133_medium.jpg,"
Bánh Trung Thu cao cấp “Mùa Vàng Việt Nam"" mô phỏng vẻ đẹp của vùng đất Mù Cang Chải như một bức tranh thiên nhiên đầy uyển chuyển và mềm mại. Từ trên cao, những khối ruộng bậc thang tuyệt đẹp như những dải lụa hòa quyện với những cánh đồng lúa chín vàng óng. Từ đó ca ngợi nét đẹp lao động của người dân vùng cao, và cũng là niềm tự hào về ngành nông nghiệp trồng lúa tại Việt Nam.Thành phần: 04 bánh cao cấp, mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Sâm sa mạcBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Dương sâm thạch lựuBánh nướng nhân Bò ngũ vị* Lưu ý:Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-mua-vang-viet-nam
8,"Hộp 6 Bánh Trung Thu cao cấp ""Non Sông Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/6_20b9999b27774bb1b458a3e0edd97d01_medium.jpg,"
Bánh Trung Thu cao cấp “Non Sông Việt Nam” mô phỏng vẻ đẹp Việt Nam - đất nước của những dòng sông, dòng văn hóa thi ca sâu lắng. Trải dọc đất nước bao la, vùng đất nào cũng lưu giữ một huyền thoại về dòng sông chảy trên mảnh đất ấy. Những dòng sông mang màu xứ sở, mang hồn đất nước. Bức tranh sông cong theo dáng chữ S thân thương, đẹp và sống động hơn tất thảy tạo vật trên đời. Theo dòng chảy của nước, ta còn thấy dòng chảy của kinh tế, giao thương, buôn bán và những nét đẹp lao động đời thường của người dân.Thành phần: 06 bánh cao cấp, mỗi bánh có trọng lượng 80g gồm:Bánh nướng Ngự huế hạnh nhânBánh nướng nhân Sâm sa mạcBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Dương sâm thạch lựuBánh nướng nhân Bò ngũ vịBánh nướng nhân Thập cẩm đông trùng hạ thảo* Lưu ý:Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-non-song-viet-nam
9,"Hộp 6 Bánh Trung Thu cao cấp ""Cung Đình Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/3_ce380d7e6f3844269d9b686378314f78_medium.jpg,"
Bánh Trung Thu cao cấp “Cung Đình Việt Nam"" mô phỏng những Cung đình, điện tẩm nơi Vua Chúa từng sinh sống, là nơi chứng kiến bao thăng trầm, biến động của lịch sử. Và cũng là nơi ghi đậm dấu ấn văn hóa - kinh tế - phong cách cai trị của nhiều triều đại khác đại khác nhau. Thông qua những lăng tẩm, cung đình ta như thấy lại những triều đại vàng son của dân tộc, mang đậm những nét đẹp kiến trúc mỹ thuật thời phong kiến.Thành phần: 04 bánh cao cấp và 01 trà mạn, mỗi bánh có trọng lượng 80g gồm:Bánh nướng nhân Sâm sa mạcBánh nướng nhân Thập cẩm yến sàoBánh nướng nhân Bò ngũ vịBánh nướng nhân Dương sâm thạch lựuTrà mạn 80g* Lưu ý:Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.
",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-cung-dinh-viet-nam
