product_id,product_name,barcode,brand,image,description,url
0,"Bánh Trung Thu cao cấp ""Thu Bình An"" version Xanh",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/27_1a60be923cba4a28ac015aa2f316845b_medium.jpg,"
								<p><strong>Bánh Trung Thu cao cấp ""Thu Bình An""</strong> không chỉ là món quà đặc biệt mà còn là lời chúc bình an, thịnh vượng gửi đến mọi nhà. Với sự kết hợp tinh tế của các loại nhân thượng hạng như dưa Mỹ, sâm sa mạc, bò ngũ vị và dưỡng nhan hồng hoa, mỗi chiếc bánh đều mang đến hương vị độc đáo và giá trị dinh dưỡng cao.</p><p>Thành phần: <strong>04&nbsp;bánh </strong>cao cấp,&nbsp;mỗi bánh có trọng lượng <strong>80g</strong> gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Sen trắng hạnh nhân</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Đậu đỏ việt quất&nbsp;</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-binh-an-version-xanh
1,"Bánh Trung Thu cao cấp ""Thu Bình An"" version Cam",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/48_900a72048bfe4be591d3a99ffcf9b050_medium.jpg,"
								<p><strong>Bánh Trung Thu cao cấp “Thu Bình An”</strong> là lời nhắn mong cầu bình an dành cho mọi nhà. Thưởng thức bánh Trung thu cao cấp ""Thu Bình An"", bạn không chỉ cảm nhận được hương vị thơm ngon đặc trưng của từng loại nhân bánh mà còn gửi gắm những lời chúc tốt đẹp đến người thân, bạn bè.</p><p>Thành phần:<strong> 04&nbsp;bánh</strong> cao cấp,&nbsp;mỗi bánh có trọng lượng<strong> 80g</strong> gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Sen trắng hạnh nhân</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Đậu đỏ việt quất</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-binh-an-version-cam
2,"Bánh Trung Thu cao cấp ""Thu Yêu Thương""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/36_a448f6e4948641a29f6aecb2c9fe00fa_medium.jpg,"
								<p><strong>Bánh Trung thu cao cấp ""Thu Yêu Thương""</strong> - món quà tinh tế gửi gắm những lời yêu thương chân thành đến người thân, gia đình. Với hương vị đặc biệt từ những nguyên liệu cao cấp, mỗi chiếc bánh là một lời cảm ơn sâu sắc và lời chúc phúc tốt đẹp nhất</p><p>Thành phần: <strong>04&nbsp;bánh</strong> cao cấp,&nbsp;mỗi bánh có trọng lượng<strong> 80g</strong> gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Ngự huế hạnh nhân</li><li>Bánh nướng nhân Bò ngũ vị</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-yeu-thuong
3,"Bánh Trung Thu cao cấp ""Thu Đủ Đầy""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/33_b64eb4e0352f470b8a28805685c52987_medium.jpg,"
								<p><strong>Hộp bánh Trung thu cao cấp ""Thu Đủ Đầy""</strong> là lời chúc ấm áp, gửi gắm mong ước về một mùa thu sum họp, đủ đầy. Với 6 vị bánh nướng thượng hạng, cùng trà mạn hảo hạng, hộp quà này không chỉ là món quà biếu tặng ý nghĩa mà còn là trải nghiệm ẩm thực tuyệt vời cho cả gia đình.</p><p>Thành phần: <strong>06&nbsp;bánh</strong> cao cấp, <strong>01 trà mạn</strong> và&nbsp;trong đó&nbsp;mỗi bánh có trọng lượng <strong>80g</strong> gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Thập cẩm đông trùng hạ thảo</li><li>Bánh nướng nhân Ngự huế hạnh nhân</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Thập cẩm vi cá</li><li>Bánh nướng nhân Đậu đỏ việt quất&nbsp;</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-du-day
4,"Bánh Trung Thu cao cấp ""Thu Sum Vầy""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/44_a0a2cedf57d14892a754f0132b3e291b_medium.jpg,"
								<p>Mùa trăng về, tràn ngập yêu thương. <strong>Hộp bánh trung thu cao cấp ""Thu Sum Vầy""</strong> là sự kết hợp hoàn hảo giữa hương vị truyền thống và hiện đại, với 4 loại nhân bánh độc đáo và trà mạn thơm ngon. Món quà ý nghĩa gửi gắm lời chúc đoàn viên, sum vầy đến những người thân yêu.</p><p>Thành phần: <strong>04&nbsp;bánh</strong> cao cấp, và <strong>01 trà mạn</strong>, trong đó&nbsp;mỗi bánh có trọng lượng <strong>80g</strong> gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Ngự huế hạnh nhân</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Trà mạn 80g</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-sum-vay
5,"Bánh Trung Thu cao cấp ""Thu Hạnh Phúc""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/29_5296bcdf1b2f42d2936c362ca5f25960_medium.jpg,"
								<p><strong>Hộp bánh Trung thu cao cấp&nbsp;""Thu Hạnh Phúc""</strong> không chỉ là món quà biếu tặng mà còn là biểu tượng của sự tinh tế và đẳng cấp. Với sự kết hợp hoàn hảo giữa hương vị truyền thống và nguyên liệu cao cấp như đông trùng hạ thảo, yến sào, vi cá,... mỗi chiếc bánh đều là một tác phẩm nghệ thuật ẩm thực, mang đến những trải nghiệm khó quên cho người thưởng thức.</p><p>Thành phần: <strong>06&nbsp;bánh</strong> cao cấp,&nbsp;trong đó&nbsp;mỗi bánh có trọng lượng<strong> 80g </strong>gồm:</p><ul><li>Bánh nướng nhân Dưa Lưới</li><li>Bánh nướng nhân Thập cẩm đông trùng hạ thảo</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Thập cẩm vi cá</li><li>Bánh nướng nhân Đậu đỏ việt quất</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-hanh-phuc
6,"Bánh 6 bánh Trung Thu cao cấp ""Thu Thịnh Vượng""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/47_b2136a1b529045578a16675dba695b63_medium.jpg,"
								<p><strong>Bánh Trung thu cao cấp ""Thu Thịnh Vượng""</strong> là món quà ý nghĩa, gửi gắm lời chúc thành công và thịnh vượng dành cho đối tác và khách hàng, thể hiện sự trân trọng và mong muốn hợp tác lâu dài. Với hương vị độc đáo từ những nguyên liệu thượng hạng, mỗi chiếc bánh đều là một tác phẩm nghệ thuật tinh tế.</p><p>Thành phần: <strong>06&nbsp;bánh</strong> cao cấp,&nbsp;trong đó&nbsp;mỗi bánh có trọng lượng <strong>80g</strong> gồm:</p><ul><li>Bánh nướng nhân Sen trắng hạnh nhân</li><li>Bánh nướng nhân Linh chi ngũ bảo</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Thập cẩm vi cá</li><li>Bánh nướng nhân Đậu đỏ việt quất&nbsp;</li></ul><p>* Lưu ý:</p><ul><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-thu-thinh-vuong
7,"Bộ hộp 4 Bánh Trung Thu cao cấp ""Mùa Vàng Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/1_dd8dad9fcc9247479743ae4847a63133_medium.jpg,"
								<strong>Bánh Trung Thu cao cấp “Mùa Vàng Việt Nam""</strong> mô phỏng vẻ đẹp của vùng đất Mù Cang Chải như một bức tranh thiên nhiên đầy uyển chuyển và mềm mại. Từ trên cao, những khối ruộng bậc thang tuyệt đẹp như những dải lụa hòa quyện với những cánh đồng lúa chín vàng óng. Từ đó ca ngợi nét đẹp lao động của người dân vùng cao, và cũng là niềm tự hào về ngành nông nghiệp trồng lúa tại Việt Nam.<div><p>Thành phần: <strong>04&nbsp;bánh</strong> cao cấp,&nbsp;mỗi bánh có trọng lượng <strong>80g </strong>gồm:</p><ul><li>Bánh nướng nhân Sâm sa mạc</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Dương sâm thạch lựu</li><li>Bánh nướng nhân Bò ngũ vị</li></ul><p>* Lưu ý:</p><ul><li>Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.<br>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul></div>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-mua-vang-viet-nam
8,"Hộp 6 Bánh Trung Thu cao cấp ""Non Sông Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/6_20b9999b27774bb1b458a3e0edd97d01_medium.jpg,"
								<strong>Bánh Trung Thu cao cấp “Non Sông Việt Nam”</strong> mô phỏng vẻ đẹp<strong>&nbsp;</strong>Việt Nam - đất nước của những dòng sông, dòng văn hóa thi ca sâu lắng. Trải dọc đất nước bao la, vùng đất nào cũng lưu giữ một huyền thoại về dòng sông chảy trên mảnh đất ấy. Những dòng sông mang màu xứ sở, mang hồn đất nước. Bức tranh sông cong theo dáng chữ S thân thương, đẹp và sống động hơn tất thảy tạo vật trên đời. Theo dòng chảy của nước, ta còn thấy dòng chảy của kinh tế, giao thương, buôn bán và những nét đẹp lao động đời thường của người dân.<div><p>Thành phần: <strong>06&nbsp;bánh</strong> cao cấp,&nbsp;mỗi bánh có trọng lượng<strong> 80g</strong> gồm:</p><ul><li>Bánh nướng Ngự huế hạnh nhân</li><li>Bánh nướng nhân Sâm sa mạc</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Dương sâm thạch lựu</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Thập cẩm đông trùng hạ thảo</li></ul><p>* Lưu ý:</p><ul><li>Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.</li><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul></div>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-non-song-viet-nam
9,"Hộp 6 Bánh Trung Thu cao cấp ""Cung Đình Việt Nam""",,Bảo Ngọc,https://product.hstatic.net/200000124025/product/3_ce380d7e6f3844269d9b686378314f78_medium.jpg,"
								<strong>Bánh Trung Thu cao cấp “Cung Đình Việt Nam""</strong> mô phỏng những&nbsp;Cung đình, điện tẩm nơi Vua Chúa từng sinh sống, là nơi chứng kiến bao thăng trầm, biến động của lịch sử. Và cũng là nơi ghi đậm dấu ấn văn hóa - kinh tế - phong cách cai trị của nhiều triều đại khác đại khác nhau. Thông qua những lăng tẩm, cung đình ta như thấy lại những triều đại vàng son của dân tộc, mang đậm những nét đẹp kiến trúc mỹ thuật thời phong kiến.<div><div><div><p>Thành phần:<strong> 04&nbsp;bánh</strong> cao cấp và<strong> 01 trà mạn</strong>,&nbsp;mỗi bánh có trọng lượng <strong>80g</strong> gồm:</p><ul><li>Bánh nướng nhân Sâm sa mạc</li><li>Bánh nướng nhân Thập cẩm yến sào</li><li>Bánh nướng nhân Bò ngũ vị</li><li>Bánh nướng nhân Dương sâm thạch lựu</li><li>Trà mạn 80g</li></ul><p>* Lưu ý:</p><ul><li>Sản phẩm có đi kèm móc treo tranh để khách hàng tái sử dụng vỏ hộp.</li><li>Hạn sử dụng tốt nhất trước 60 ngày kể từ ngày sản xuất trong điều kiện chưa mở bao bì và bao bì còn nguyên vẹn không xì xẹp.</li><li>Hướng dẫn sử dụng: bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp. Sản phẩm ăn trực tiếp không qua chế biến, ngon hơn khi dùng với nước trà.</li><li>Ngày sản xuất (NSX), hạn sử dụng (HSD) được in trên bao bì của sản phẩm.</li></ul></div></div></div>
							",https://banhbaongoc.vn/collections/banh-trung-thu-2024/products/banh-trung-thu-cao-cap-cung-dinh-viet-nam
